city,store_name,manufacturer,brand,class,size,sku,price_bracket,year,month,value_sales,volume_sales,average_price
TABUK,HM No  57657  GS-CENTER-TABUK MAIN RD  TABUK,DESERT SUN CO,NAJMA,COCONUT,2.9L,NAJMA COCONUT 2.9L PLUS,61-70,2023,5,1575.0,22.5,70.0
TABUK,HM No  90169  GS-CENTER-TABUK MAIN RD  TABUK,NAJDI CONSUMER,BAYTNA,CORN,1.8L,BAYTNA CORN 1.8L TWIN PACK,61-70,2024,8,579.5,9.5,61.0
DAMMAM,HM No  86416  GS-CENTER-DAMMAM MAIN RD  DAMMAM,BLUE OASIS CO,NAJMA,COCONUT,0.6L,NAJMA COCONUT 0.6L,41-50,2022,1,299.3,7.3,41.0
YANBU,HM No  67054  GS-CENTER-YANBU MAIN RD  YANBU,SAHARA EDIBLES,SABAYA,SUNFLOWER,0.5L,SABAYA SUNFLOWER 0.5L ECO,11-20$,2023,6,162.76,13.4,12.15
MAKKAH,HM No  86756  GS-CENTER-MAKKAH MAIN RD  MAKKAH,BLUE OASIS CO,SABAYA,SUNFLOWER,0.5L,SABAYA SUNFLOWER 0.5L FAMILY PACK,31-40,2022,6,353.4,11.4,31.0
JEDDAH,HM No  63351  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NAJDI CONSUMER,GULF GOLD,COCONUT,9L,GULF GOLD COCONUT 9L PREMIUM,51-60,2024,11,54.0,0.9,60.0
AL AHSA,HM No  63919  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,BAYTNA,VEGETABLE,0.6L,BAYTNA VEGETABLE 0.6L ECO,21-30,2022,8,14.7,0.7,21.0
AL BAHA,HM No  56180  GS-CENTER-AL BAHA MAIN RD  AL BAHA,DESERT SUN CO,NAJMA,CORN,4.5L,NAJMA CORN 4.5L FAMILY PACK,21-30,2023,6,15.0,0.5,30.0
AL AHSA,HM No  56951  GS-CENTER-AL AHSA MAIN RD  AL AHSA,DESERT SUN CO,GULF GOLD,CANOLA,0.5L,GULF GOLD CANOLA 0.5L ECO,81-90,2023,11,1085.4,13.4,81.0
TABUK,HM No  88941  GS-CENTER-TABUK MAIN RD  TABUK,NOVA FOODS,NOUR,CANOLA,4.5L,NOUR CANOLA 4.5L PREMIUM,81-90,2023,12,315.0,3.5,90.0
MAKKAH,HM No  87300  GS-CENTER-MAKKAH MAIN RD  MAKKAH,SAHARA EDIBLES,HILAL,CANOLA,10L,HILAL CANOLA 10L FAMILY PACK,51-60,2023,1,894.0,14.9,60.0
MAKKAH,HM No  54634  GS-CENTER-MAKKAH MAIN RD  MAKKAH,PALM & GRAIN GROUP,ZAHRA,SUNFLOWER,1L,ZAHRA SUNFLOWER 1L TWIN PACK,41-50,2023,2,82.0,2.0,41.0
RIYADH,HM No  63646  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,RAWABI,SUNFLOWER,1L,RAWABI SUNFLOWER 1L FAMILY PACK,31-40,2022,5,31.0,1.0,31.0
YANBU,HM No  78335  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,RIMAL,COCONUT,1.5L,RIMAL COCONUT 1.5L FAMILY PACK,21-30,2023,9,435.0,14.5,30.0
TAIF,HM No  82087  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,RAWABI,SUNFLOWER,1L,RAWABI SUNFLOWER 1L PREMIUM,101+,2023,2,50.5,0.5,101.0
JAZAN,HM No  74132  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,RAWABI,SUNFLOWER,0.5L,RAWABI SUNFLOWER 0.5L,91-100,2023,8,3130.4,34.4,91.0
AL BAHA,HM No  64695  GS-CENTER-AL BAHA MAIN RD  AL BAHA,SAHARA EDIBLES,SABAYA,VEGETABLE,4.5L,SABAYA VEGETABLE 4.5L FAMILY PACK,91-100,2022,5,1337.7,14.7,91.0
YANBU,HM No  78662  GS-CENTER-YANBU MAIN RD  YANBU,ARABIAN HARVEST CO,SABAYA,CORN,0.6L,SABAYA CORN 0.6L TWIN PACK,51-60,2022,9,244.8,4.8,51.0
JAZAN,HM No  69364  GS-CENTER-JAZAN MAIN RD  JAZAN,NOVA FOODS,BAYTNA,CANOLA,0.2L,BAYTNA CANOLA 0.2L PREMIUM,21-30,2024,7,27.3,1.3,21.0
JAZAN,HM No  56192  GS-CENTER-JAZAN MAIN RD  JAZAN,BLUE OASIS CO,RIMAL,CORN,1.5L,RIMAL CORN 1.5L PLUS,101+,2022,9,1504.9,14.9,101.0
RIYADH,HM No  57466  GS-CENTER-RIYADH MAIN RD  RIYADH,BLUE OASIS CO,GULF GOLD,COCONUT,1.8L,GULF GOLD COCONUT 1.8L,21-30,2023,12,228.0,7.6,30.0
TABUK,HM No  70574  GS-CENTER-TABUK MAIN RD  TABUK,BLUE OASIS CO,SABAYA,VEGETABLE,10L,SABAYA VEGETABLE 10L PLUS,61-70,2022,4,2422.0,34.6,70.0
DAMMAM,HM No  55126  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,ZAHRA,SUNFLOWER,3L,ZAHRA SUNFLOWER 3L,11-20$,2023,2,70.0,3.5,20.0
RIYADH,HM No  61254  GS-CENTER-RIYADH MAIN RD  RIYADH,BLUE OASIS CO,SABAYA,SUNFLOWER,4.5L,SABAYA SUNFLOWER 4.5L FAMILY PACK,101+,2024,8,1288.0,9.2,140.0
TABUK,HM No  90533  GS-CENTER-TABUK MAIN RD  TABUK,DESERT SUN CO,RAWABI,CORN,0.5L,RAWABI CORN 0.5L TWIN PACK,31-40,2022,4,427.8,13.8,31.0
JEDDAH,HM No  51041  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,NAJMA,COCONUT,2.9L,NAJMA COCONUT 2.9L FAMILY PACK,31-40,2024,4,428.0,10.7,40.0
JAZAN,HM No  91029  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,ZAHRA,CORN,10L,ZAHRA CORN 10L ECO,31-40,2023,7,164.0,4.1,40.0
RIYADH,HM No  57632  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,GULF GOLD,SUNFLOWER,2.9L,GULF GOLD SUNFLOWER 2.9L ECO,11-20$,2023,10,50.0,2.5,20.0
TAIF,HM No  63194  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,RIMAL,SUNFLOWER,0.2L,RIMAL SUNFLOWER 0.2L PLUS,11-20$,2022,11,62.7,5.7,11.0
MAKKAH,HM No  78297  GS-CENTER-MAKKAH MAIN RD  MAKKAH,PALM & GRAIN GROUP,SABAYA,VEGETABLE,4L,SABAYA VEGETABLE 4L FAMILY PACK,91-100,2023,1,864.5,9.5,91.0
YANBU,HM No  76193  GS-CENTER-YANBU MAIN RD  YANBU,BLUE OASIS CO,BAYTNA,VEGETABLE,9L,BAYTNA VEGETABLE 9L PREMIUM,81-90,2022,12,252.0,2.8,90.0
RIYADH,HM No  84623  GS-CENTER-RIYADH MAIN RD  RIYADH,NOVA FOODS,RAWABI,VEGETABLE,1.5L,RAWABI VEGETABLE 1.5L PREMIUM,21-30,2023,11,56.41,2.2,25.64
JAZAN,HM No  81020  GS-CENTER-JAZAN MAIN RD  JAZAN,ARABIAN HARVEST CO,SABAYA,VEGETABLE,4.5L,SABAYA VEGETABLE 4.5L PLUS,81-90,2024,7,936.0,10.4,90.0
RIYADH,HM No  60573  GS-CENTER-RIYADH MAIN RD  RIYADH,NAJDI CONSUMER,HILAL,SUNFLOWER,1.5L,HILAL SUNFLOWER 1.5L ECO,41-50,2024,4,692.9,16.9,41.0
AL AHSA,HM No  94890  GS-CENTER-AL AHSA MAIN RD  AL AHSA,DESERT SUN CO,RIMAL,SUNFLOWER,0.6L,RIMAL SUNFLOWER 0.6L PLUS,71-80,2023,11,1327.7,18.7,71.0
AL BAHA,HM No  98141  GS-CENTER-AL BAHA MAIN RD  AL BAHA,DESERT SUN CO,SABAYA,COCONUT,4L,SABAYA COCONUT 4L TWIN PACK,51-60,2024,12,174.0,2.9,60.0
JEDDAH,HM No  93716  GS-CENTER-JEDDAH MAIN RD  JEDDAH,BLUE OASIS CO,GULF GOLD,COCONUT,0.75L,GULF GOLD COCONUT 0.75L TWIN PACK,101+,2023,2,626.2,6.2,101.0
JAZAN,HM No  82356  GS-CENTER-JAZAN MAIN RD  JAZAN,NAJDI CONSUMER,HILAL,COCONUT,3L,HILAL COCONUT 3L,11-20$,2023,5,260.0,13.0,20.0
HAIL,HM No  94363  GS-CENTER-HAIL MAIN RD  HAIL,SAHARA EDIBLES,GULF GOLD,VEGETABLE,0.2L,GULF GOLD VEGETABLE 0.2L,61-70,2023,2,652.7,10.7,61.0
AL AHSA,HM No  64856  GS-CENTER-AL AHSA MAIN RD  AL AHSA,ARABIAN HARVEST CO,BAYTNA,COCONUT,2.9L,BAYTNA COCONUT 2.9L PLUS,61-70,2023,1,553.0,7.9,70.0
AL KHARJ,HM No  67530  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,SAHARA EDIBLES,BAYTNA,VEGETABLE,4.5L,BAYTNA VEGETABLE 4.5L,11-20$,2023,8,554.0,27.7,20.0
JEDDAH,HM No  56939  GS-CENTER-JEDDAH MAIN RD  JEDDAH,ARABIAN HARVEST CO,BAYTNA,CANOLA,3L,BAYTNA CANOLA 3L,31-40,2024,2,72.0,1.8,40.0
TAIF,HM No  73700  GS-CENTER-TAIF MAIN RD  TAIF,SAHARA EDIBLES,LARA,SUNFLOWER,10L,LARA SUNFLOWER 10L PREMIUM,81-90,2024,2,1161.0,12.9,90.0
DAMMAM,HM No  92407  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,NOUR,COCONUT,0.5L,NOUR COCONUT 0.5L TWIN PACK,81-90,2023,1,194.4,2.4,81.0
TAIF,HM No  81042  GS-CENTER-TAIF MAIN RD  TAIF,DESERT SUN CO,LARA,VEGETABLE,0.6L,LARA VEGETABLE 0.6L,51-60,2023,12,938.4,18.4,51.0
JAZAN,HM No  73635  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,GULF GOLD,VEGETABLE,1.8L,GULF GOLD VEGETABLE 1.8L TWIN PACK,31-40,2023,7,312.0,7.8,40.0
JAZAN,HM No  80064  GS-CENTER-JAZAN MAIN RD  JAZAN,DESERT SUN CO,NAJMA,SUNFLOWER,0.6L,NAJMA SUNFLOWER 0.6L,91-100,2022,2,646.1,7.1,91.0
HAIL,HM No  70631  GS-CENTER-HAIL MAIN RD  HAIL,PALM & GRAIN GROUP,GULF GOLD,SUNFLOWER,0.2L,GULF GOLD SUNFLOWER 0.2L ECO,11-20$,2024,11,91.3,8.3,11.0
DAMMAM,HM No  87654  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NOVA FOODS,BAYTNA,CORN,1.8L,BAYTNA CORN 1.8L ECO,91-100,2023,12,1883.7,20.7,91.0
MAKKAH,HM No  70558  GS-CENTER-MAKKAH MAIN RD  MAKKAH,DESERT SUN CO,NAJMA,CORN,3L,NAJMA CORN 3L PREMIUM,31-40,2024,7,572.0,14.3,40.0
YANBU,HM No  92197  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,BAYTNA,VEGETABLE,10L,BAYTNA VEGETABLE 10L PREMIUM,81-90,2024,6,558.0,6.2,90.0
AL BAHA,HM No  76509  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,LARA,CANOLA,0.2L,LARA CANOLA 0.2L PREMIUM,61-70,2023,12,170.8,2.8,61.0
MAKKAH,HM No  98500  GS-CENTER-MAKKAH MAIN RD  MAKKAH,SAHARA EDIBLES,BAYTNA,VEGETABLE,1L,BAYTNA VEGETABLE 1L TWIN PACK,21-30,2024,9,1081.83,48.0,22.54
TABUK,HM No  84166  GS-CENTER-TABUK MAIN RD  TABUK,DESERT SUN CO,GULF GOLD,CANOLA,0.2L,GULF GOLD CANOLA 0.2L PREMIUM,101+,2023,4,515.1,5.1,101.0
TABUK,HM No  97612  GS-CENTER-TABUK MAIN RD  TABUK,PALM & GRAIN GROUP,BAYTNA,CANOLA,9L,BAYTNA CANOLA 9L,61-70,2023,11,161.0,2.3,70.0
AL KHARJ,HM No  73230  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,NAJMA,CANOLA,2.9L,NAJMA CANOLA 2.9L PLUS,101+,2024,1,1333.2,13.2,101.0
YANBU,HM No  72215  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,RIMAL,VEGETABLE,9L,RIMAL VEGETABLE 9L FAMILY PACK,91-100,2024,4,210.0,2.1,100.0
HAIL,HM No  69608  GS-CENTER-HAIL MAIN RD  HAIL,NAJDI CONSUMER,RIMAL,COCONUT,9L,RIMAL COCONUT 9L ECO,91-100,2024,4,1530.0,15.3,100.0
JEDDAH,HM No  71485  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,NOUR,SUNFLOWER,0.5L,NOUR SUNFLOWER 0.5L TWIN PACK,71-80,2023,2,35.5,0.5,71.0
JEDDAH,HM No  54075  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,GULF GOLD,SUNFLOWER,0.75L,GULF GOLD SUNFLOWER 0.75L ECO,21-30,2023,11,12.0,0.5,24.0
AL KHARJ,HM No  76394  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,PALM & GRAIN GROUP,LARA,VEGETABLE,2.9L,LARA VEGETABLE 2.9L FAMILY PACK,71-80,2023,12,163.3,2.3,71.0
YANBU,HM No  97953  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,GULF GOLD,COCONUT,3L,GULF GOLD COCONUT 3L TWIN PACK,81-90,2024,8,414.0,4.6,90.0
DAMMAM,HM No  96171  GS-CENTER-DAMMAM MAIN RD  DAMMAM,ARABIAN HARVEST CO,HILAL,SUNFLOWER,2.9L,HILAL SUNFLOWER 2.9L,31-40,2024,6,64.0,1.6,40.0
JEDDAH,HM No  89426  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,ZAHRA,CANOLA,1.5L,ZAHRA CANOLA 1.5L PREMIUM,51-60,2022,9,1065.9,20.9,51.0
DAMMAM,HM No  57716  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,LARA,CORN,1L,LARA CORN 1L PLUS,81-90,2022,3,372.6,4.6,81.0
DAMMAM,HM No  88641  GS-CENTER-DAMMAM MAIN RD  DAMMAM,PALM & GRAIN GROUP,NAJMA,CORN,1L,NAJMA CORN 1L TWIN PACK,31-40,2024,8,396.8,12.8,31.0
RIYADH,HM No  58016  GS-CENTER-RIYADH MAIN RD  RIYADH,DESERT SUN CO,ZAHRA,CANOLA,1.8L,ZAHRA CANOLA 1.8L ECO,101+,2023,10,909.0,9.0,101.0
YANBU,HM No  72139  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,SABAYA,VEGETABLE,0.6L,SABAYA VEGETABLE 0.6L TWIN PACK,91-100,2024,8,482.3,5.3,91.0
YANBU,HM No  93726  GS-CENTER-YANBU MAIN RD  YANBU,BLUE OASIS CO,GULF GOLD,CORN,0.5L,GULF GOLD CORN 0.5L PREMIUM,101+,2023,7,50.5,0.5,101.0
TAIF,HM No  75912  GS-CENTER-TAIF MAIN RD  TAIF,DESERT SUN CO,BAYTNA,CANOLA,4.5L,BAYTNA CANOLA 4.5L ECO,51-60,2024,2,264.0,4.4,60.0
DAMMAM,HM No  96347  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NOVA FOODS,RIMAL,CORN,3L,RIMAL CORN 3L FAMILY PACK,21-30,2024,9,30.0,1.0,30.0
JEDDAH,HM No  62610  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NOVA FOODS,RIMAL,VEGETABLE,0.75L,RIMAL VEGETABLE 0.75L ECO,91-100,2022,2,600.6,6.6,91.0
AL BAHA,HM No  84855  GS-CENTER-AL BAHA MAIN RD  AL BAHA,SAHARA EDIBLES,NAJMA,CORN,10L,NAJMA CORN 10L TWIN PACK,41-50,2024,10,35.0,0.7,50.0
YANBU,HM No  55547  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,RAWABI,VEGETABLE,0.2L,RAWABI VEGETABLE 0.2L ECO,11-20$,2023,7,90.2,8.2,11.0
DAMMAM,HM No  77193  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NOVA FOODS,BAYTNA,CORN,1.8L,BAYTNA CORN 1.8L PLUS,21-30,2022,2,279.0,9.3,30.0
AL KHARJ,HM No  61020  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,NAJDI CONSUMER,GULF GOLD,COCONUT,1L,GULF GOLD COCONUT 1L,31-40,2023,7,652.0,16.3,40.0
AL BAHA,HM No  61088  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NOVA FOODS,RIMAL,CORN,0.6L,RIMAL CORN 0.6L,11-20$,2023,7,288.59,17.4,16.59
JEDDAH,HM No  70974  GS-CENTER-JEDDAH MAIN RD  JEDDAH,SAHARA EDIBLES,RAWABI,CORN,1L,RAWABI CORN 1L ECO,21-30,2022,4,24.0,0.8,30.0
TAIF,HM No  99291  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,SABAYA,VEGETABLE,10L,SABAYA VEGETABLE 10L PREMIUM,71-80,2022,5,328.0,4.1,80.0
RIYADH,HM No  70862  GS-CENTER-RIYADH MAIN RD  RIYADH,BLUE OASIS CO,BAYTNA,SUNFLOWER,0.5L,BAYTNA SUNFLOWER 0.5L ECO,11-20$,2023,11,198.58,12.3,16.14
TAIF,HM No  51220  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,BAYTNA,VEGETABLE,4.5L,BAYTNA VEGETABLE 4.5L,41-50,2024,11,365.0,7.3,50.0
DAMMAM,HM No  69963  GS-CENTER-DAMMAM MAIN RD  DAMMAM,PALM & GRAIN GROUP,SABAYA,CANOLA,4.5L,SABAYA CANOLA 4.5L PREMIUM,41-50,2022,6,80.0,1.6,50.0
AL KHARJ,HM No  61022  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,AL HILAL INDUSTRIES,BAYTNA,SUNFLOWER,3L,BAYTNA SUNFLOWER 3L ECO,11-20$,2022,8,114.0,5.7,20.0
AL AHSA,HM No  68956  GS-CENTER-AL AHSA MAIN RD  AL AHSA,SAHARA EDIBLES,NAJMA,CANOLA,2.9L,NAJMA CANOLA 2.9L PLUS,101+,2023,11,252.5,2.5,101.0
JAZAN,HM No  73030  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,RIMAL,VEGETABLE,1L,RIMAL VEGETABLE 1L,31-40,2024,9,412.3,13.3,31.0
AL AHSA,HM No  54583  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NAJDI CONSUMER,ZAHRA,SUNFLOWER,9L,ZAHRA SUNFLOWER 9L,31-40,2024,9,1080.0,27.0,40.0
TABUK,HM No  78309  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,RIMAL,VEGETABLE,10L,RIMAL VEGETABLE 10L PLUS,61-70,2024,5,385.0,5.5,70.0
MAKKAH,HM No  79669  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,HILAL,CORN,1.5L,HILAL CORN 1.5L TWIN PACK,81-90,2024,6,1247.4,15.4,81.0
RIYADH,HM No  95340  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,NAJMA,VEGETABLE,2.9L,NAJMA VEGETABLE 2.9L,11-20$,2024,3,106.0,5.3,20.0
JAZAN,HM No  86424  GS-CENTER-JAZAN MAIN RD  JAZAN,BLUE OASIS CO,RAWABI,VEGETABLE,0.5L,RAWABI VEGETABLE 0.5L FAMILY PACK,21-30,2024,1,100.8,4.8,21.0
AL BAHA,HM No  79175  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,NOUR,SUNFLOWER,4L,NOUR SUNFLOWER 4L PLUS,71-80,2022,12,712.0,8.9,80.0
RIYADH,HM No  58176  GS-CENTER-RIYADH MAIN RD  RIYADH,BLUE OASIS CO,NOUR,COCONUT,2.9L,NOUR COCONUT 2.9L,41-50,2024,1,225.0,4.5,50.0
TABUK,HM No  94600  GS-CENTER-TABUK MAIN RD  TABUK,DESERT SUN CO,HILAL,CANOLA,4L,HILAL CANOLA 4L FAMILY PACK,51-60,2024,4,30.0,0.5,60.0
TAIF,HM No  82362  GS-CENTER-TAIF MAIN RD  TAIF,DESERT SUN CO,NAJMA,CORN,2.9L,NAJMA CORN 2.9L FAMILY PACK,101+,2022,1,1797.8,17.8,101.0
TAIF,HM No  91840  GS-CENTER-TAIF MAIN RD  TAIF,PALM & GRAIN GROUP,ZAHRA,CORN,4L,ZAHRA CORN 4L PREMIUM,81-90,2022,9,657.0,7.3,90.0
TAIF,HM No  93243  GS-CENTER-TAIF MAIN RD  TAIF,SAHARA EDIBLES,ZAHRA,VEGETABLE,0.6L,ZAHRA VEGETABLE 0.6L FAMILY PACK,21-30,2022,5,592.2,28.2,21.0
AL AHSA,HM No  64939  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NAJDI CONSUMER,HILAL,CANOLA,9L,HILAL CANOLA 9L FAMILY PACK,91-100,2024,5,560.0,5.6,100.0
AL BAHA,HM No  86707  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,NAJMA,SUNFLOWER,4.5L,NAJMA SUNFLOWER 4.5L FAMILY PACK,11-20$,2023,7,368.0,18.4,20.0
JAZAN,HM No  67959  GS-CENTER-JAZAN MAIN RD  JAZAN,ARABIAN HARVEST CO,BAYTNA,SUNFLOWER,2.9L,BAYTNA SUNFLOWER 2.9L PLUS,91-100,2022,12,1474.2,16.2,91.0
TAIF,HM No  53077  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,RAWABI,VEGETABLE,2.9L,RAWABI VEGETABLE 2.9L PLUS,11-20$,2023,4,132.0,6.6,20.0
HAIL,HM No  55361  GS-CENTER-HAIL MAIN RD  HAIL,NOVA FOODS,HILAL,SUNFLOWER,0.5L,HILAL SUNFLOWER 0.5L TWIN PACK,41-50,2022,6,32.8,0.8,41.0
TABUK,HM No  54118  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,NAJMA,SUNFLOWER,1.8L,NAJMA SUNFLOWER 1.8L,101+,2024,6,696.9,6.9,101.0
TABUK,HM No  66197  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,SABAYA,COCONUT,1.5L,SABAYA COCONUT 1.5L,61-70,2024,4,799.1,13.1,61.0
JEDDAH,HM No  89319  GS-CENTER-JEDDAH MAIN RD  JEDDAH,BLUE OASIS CO,ZAHRA,SUNFLOWER,4L,ZAHRA SUNFLOWER 4L,21-30,2022,1,51.0,1.7,30.0
JAZAN,HM No  70531  GS-CENTER-JAZAN MAIN RD  JAZAN,ARABIAN HARVEST CO,GULF GOLD,CANOLA,10L,GULF GOLD CANOLA 10L ECO,11-20$,2023,10,30.0,1.5,20.0
AL BAHA,HM No  78301  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,ZAHRA,CANOLA,3L,ZAHRA CANOLA 3L,51-60,2023,7,642.0,10.7,60.0
JEDDAH,HM No  90455  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,HILAL,VEGETABLE,10L,HILAL VEGETABLE 10L FAMILY PACK,101+,2022,8,98.0,0.7,140.0
JAZAN,HM No  80422  GS-CENTER-JAZAN MAIN RD  JAZAN,PALM & GRAIN GROUP,RIMAL,VEGETABLE,0.5L,RIMAL VEGETABLE 0.5L PLUS,11-20$,2023,9,36.3,3.3,11.0
HAIL,HM No  88522  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,ZAHRA,CANOLA,0.2L,ZAHRA CANOLA 0.2L PREMIUM,21-30,2024,4,58.8,2.8,21.0
AL AHSA,HM No  58256  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NAJDI CONSUMER,NOUR,SUNFLOWER,2.9L,NOUR SUNFLOWER 2.9L FAMILY PACK,101+,2023,3,292.9,2.9,101.0
TAIF,HM No  59022  GS-CENTER-TAIF MAIN RD  TAIF,NOVA FOODS,NAJMA,COCONUT,1L,NAJMA COCONUT 1L PREMIUM,71-80,2024,11,1008.2,14.2,71.0
HAIL,HM No  70394  GS-CENTER-HAIL MAIN RD  HAIL,SAHARA EDIBLES,GULF GOLD,SUNFLOWER,1L,GULF GOLD SUNFLOWER 1L PREMIUM,61-70,2023,6,915.0,15.0,61.0
RIYADH,HM No  83926  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,NAJMA,COCONUT,3L,NAJMA COCONUT 3L PREMIUM,11-20$,2023,6,134.0,6.7,20.0
TAIF,HM No  63131  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,ZAHRA,CORN,0.75L,ZAHRA CORN 0.75L FAMILY PACK,81-90,2024,12,48.6,0.6,81.0
YANBU,HM No  89306  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,RIMAL,VEGETABLE,1.5L,RIMAL VEGETABLE 1.5L PREMIUM,51-60,2023,6,76.5,1.5,51.0
DAMMAM,HM No  56871  GS-CENTER-DAMMAM MAIN RD  DAMMAM,BLUE OASIS CO,NAJMA,SUNFLOWER,0.75L,NAJMA SUNFLOWER 0.75L,41-50,2024,4,217.3,5.3,41.0
YANBU,HM No  90889  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,HILAL,SUNFLOWER,9L,HILAL SUNFLOWER 9L PLUS,71-80,2022,7,1840.0,23.0,80.0
DAMMAM,HM No  50440  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,NAJMA,CANOLA,1.5L,NAJMA CANOLA 1.5L,91-100,2022,3,991.9,10.9,91.0
TABUK,HM No  78862  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,RIMAL,CORN,0.2L,RIMAL CORN 0.2L,41-50,2022,5,336.2,8.2,41.0
DAMMAM,HM No  64348  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,GULF GOLD,CORN,3L,GULF GOLD CORN 3L TWIN PACK,31-40,2022,1,20.0,0.5,40.0
DAMMAM,HM No  67156  GS-CENTER-DAMMAM MAIN RD  DAMMAM,ARABIAN HARVEST CO,NAJMA,COCONUT,1.8L,NAJMA COCONUT 1.8L FAMILY PACK,21-30,2023,4,90.0,3.0,30.0
TABUK,HM No  79897  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,NOUR,CORN,4.5L,NOUR CORN 4.5L TWIN PACK,91-100,2024,7,3980.0,39.8,100.0
MAKKAH,HM No  54284  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,GULF GOLD,COCONUT,10L,GULF GOLD COCONUT 10L TWIN PACK,41-50,2024,7,530.0,10.6,50.0
MAKKAH,HM No  74527  GS-CENTER-MAKKAH MAIN RD  MAKKAH,DESERT SUN CO,RIMAL,SUNFLOWER,4.5L,RIMAL SUNFLOWER 4.5L TWIN PACK,11-20$,2024,10,166.0,8.3,20.0
TAIF,HM No  85092  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,GULF GOLD,CORN,0.75L,GULF GOLD CORN 0.75L,51-60,2022,9,1825.8,35.8,51.0
