Age,Salary,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Residence_Type,Previous_Default,Loan_Approved
62,68845,567,30242,48 months,Self-Employed,Owned,No,Yes
35,77932,307,7176,36 months,Self-Employed,Rented,Yes,Yes
64,112124,807,25127,24 months,Unemployed,Owned,Yes,Yes
53,111659,775,46560,36 months,Unemployed,Owned,Yes,Yes
64,53062,596,32228,24 months,Employed,Owned,Yes,No
39,95713,463,25208,24 months,Employed,Rented,No,Yes
51,107263,784,33482,48 months,Self-Employed,Rented,Yes,No
64,115756,371,14171,12 months,Self-Employed,Mortgage,No,No
25,80461,537,40219,48 months,Employed,Rented,No,Yes
57,95418,403,38396,24 months,Unemployed,Owned,No,Yes
61,86672,509,47589,24 months,Self-Employed,Owned,No,No
36,148232,767,45546,12 months,Unemployed,Rented,Yes,No
59,54832,753,8696,36 months,Employed,Rented,No,Yes
58,147335,567,25058,36 months,Self-Employed,Rented,No,Yes
54,51966,685,25313,24 months,Self-Employed,Mortgage,No,Yes
23,92545,686,24149,36 months,Employed,Owned,No,Yes
43,32987,558,46075,24 months,Self-Employed,Mortgage,Yes,Yes
51,57311,582,9956,12 months,Employed,Mortgage,Yes,No
62,51575,339,15195,12 months,Self-Employed,Owned,No,Yes
23,83852,785,22076,24 months,Employed,Owned,No,Yes
54,147650,519,6105,12 months,Self-Employed,Rented,No,No
50,21007,428,20417,48 months,Unemployed,Rented,Yes,Yes
39,90981,819,29729,48 months,Unemployed,Mortgage,Yes,Yes
38,96242,559,35099,12 months,Unemployed,Rented,Yes,No
23,67517,665,37598,24 months,Self-Employed,Rented,Yes,Yes
23,130022,843,34961,24 months,Self-Employed,Owned,Yes,No
21,49257,823,17602,12 months,Unemployed,Owned,No,Yes
47,107272,315,14256,36 months,Unemployed,Rented,Yes,Yes
28,62207,428,25584,48 months,Employed,Owned,Yes,Yes
47,33281,408,39681,36 months,Employed,Rented,No,No
48,81246,832,30792,24 months,Employed,Owned,Yes,No
41,21435,568,26904,24 months,Unemployed,Owned,Yes,No
26,118875,461,48361,36 months,Unemployed,Owned,Yes,No
20,120686,559,39540,12 months,Unemployed,Owned,No,Yes
48,111357,401,31536,36 months,Employed,Rented,Yes,No
57,46660,805,24164,36 months,Self-Employed,Mortgage,No,No
54,25084,546,17996,48 months,Unemployed,Owned,No,No
53,102197,836,7871,48 months,Self-Employed,Rented,Yes,Yes
41,33507,430,27626,36 months,Self-Employed,Rented,Yes,Yes
48,92595,652,15521,36 months,Self-Employed,Owned,Yes,No
23,103807,495,48410,24 months,Employed,Mortgage,Yes,No
19,65539,681,6132,48 months,Self-Employed,Owned,No,Yes
37,135953,526,38467,48 months,Unemployed,Rented,Yes,No
45,27491,775,19534,24 months,Employed,Mortgage,No,No
28,147706,776,28854,12 months,Unemployed,Rented,No,No
21,132831,564,47998,48 months,Unemployed,Owned,No,No
32,70192,671,44065,48 months,Employed,Mortgage,No,Yes
23,100395,785,12812,12 months,Unemployed,Rented,No,Yes
47,143797,733,9557,48 months,Unemployed,Rented,Yes,Yes
55,83888,510,7179,48 months,Employed,Rented,No,No
19,93609,676,48798,12 months,Unemployed,Owned,No,No
32,29077,694,14065,12 months,Self-Employed,Mortgage,Yes,Yes
28,137440,749,13275,36 months,Unemployed,Owned,Yes,Yes
25,142901,663,40948,24 months,Self-Employed,Owned,No,Yes
43,40953,756,25700,24 months,Unemployed,Owned,No,No
62,96919,525,44464,12 months,Employed,Mortgage,Yes,Yes
61,134682,430,47351,12 months,Employed,Owned,No,No
22,141041,775,32794,48 months,Unemployed,Owned,Yes,No
23,87889,576,33783,36 months,Employed,Owned,Yes,Yes
43,43821,455,21998,36 months,Unemployed,Owned,No,Yes
21,57567,517,18869,12 months,Employed,Rented,Yes,No
36,135374,489,49525,48 months,Self-Employed,Owned,No,Yes
37,44860,716,33152,48 months,Unemployed,Rented,No,Yes
50,41195,845,25954,24 months,Self-Employed,Owned,No,No
37,97475,340,36555,24 months,Self-Employed,Mortgage,Yes,No
29,110874,606,21654,48 months,Unemployed,Rented,No,No
64,107266,637,40236,24 months,Self-Employed,Rented,Yes,No
18,41427,613,20042,12 months,Unemployed,Rented,No,No
43,120732,374,30966,48 months,Self-Employed,Rented,No,Yes
31,47083,578,49314,24 months,Unemployed,Mortgage,Yes,No
55,107046,475,19270,36 months,Unemployed,Owned,No,No
54,77372,572,35908,48 months,Employed,Rented,No,No
28,143786,588,20523,48 months,Unemployed,Mortgage,Yes,Yes
53,64064,571,24991,36 months,Unemployed,Rented,Yes,No
30,27813,365,15775,12 months,Self-Employed,Owned,Yes,No
60,51598,782,17265,36 months,Unemployed,Rented,No,No
20,132718,547,24459,48 months,Employed,Mortgage,Yes,Yes
50,146879,455,21673,12 months,Self-Employed,Owned,Yes,No
23,113106,346,32056,24 months,Self-Employed,Mortgage,No,No
27,47082,753,11614,24 months,Employed,Owned,Yes,No
22,49241,500,41020,24 months,Self-Employed,Owned,No,Yes
40,116214,423,12415,48 months,Self-Employed,Owned,No,Yes
27,64569,300,28155,36 months,Self-Employed,Rented,Yes,Yes
61,31745,490,48884,12 months,Self-Employed,Mortgage,No,Yes
19,46029,815,21964,24 months,Employed,Mortgage,Yes,No
